In step 0, epoch 1, MAE = 601.5877075195312, MSE = 707.05322265625, time cost = 9.426615953445435.
In step 300, epoch 2, MAE = 145.5143585205078, MSE = 221.92791748046875, time cost = 8.52482533454895.
In step 600, epoch 3, MAE = 137.92689514160156, MSE = 210.94100952148438, time cost = 8.512934446334839.
In step 900, epoch 4, MAE = 109.48413848876953, MSE = 169.42800903320312, time cost = 8.53384017944336.
In step 1200, epoch 5, MAE = 120.68892669677734, MSE = 188.0019989013672, time cost = 8.520927906036377.
In step 1500, epoch 6, MAE = 114.39849853515625, MSE = 167.24951171875, time cost = 8.532904624938965.
In step 1800, epoch 7, MAE = 126.75825500488281, MSE = 180.24169921875, time cost = 8.544391870498657.
In step 2100, epoch 8, MAE = 111.434814453125, MSE = 162.36279296875, time cost = 8.495441913604736.
In step 2400, epoch 9, MAE = 116.37248992919922, MSE = 158.8336639404297, time cost = 8.522782802581787.
In step 2700, epoch 10, MAE = 87.83454132080078, MSE = 130.36831665039062, time cost = 8.536698818206787.
In step 3000, epoch 11, MAE = 117.65625, MSE = 165.8235321044922, time cost = 8.540925979614258.
In step 3300, epoch 12, MAE = 121.16228485107422, MSE = 172.97610473632812, time cost = 8.507813692092896.
In step 3600, epoch 13, MAE = 126.29193115234375, MSE = 179.5898895263672, time cost = 8.548709154129028.
In step 3900, epoch 14, MAE = 182.02603149414062, MSE = 242.9211883544922, time cost = 8.525608539581299.
